reg_id,consumption_share1,consumption_share2,consumption_share3,consumption_share4,consumption_share5,consumption_share6,consumption_share7,consumption_share8,consumption_share9,consumption_share10
BE322,.014078903,.2058823,.0041584312,.13088927,.059004601,.059288751,.068335399,.068335399,.19501346,.19501346
BE323,.014078903,.2058823,.0041584312,.13088927,.059004601,.059288751,.068335399,.068335399,.19501346,.19501346
BE324,.014078903,.2058823,.0041584312,.13088927,.059004601,.059288751,.068335399,.068335399,.19501346,.19501346
BE325,.014078903,.2058823,.0041584312,.13088927,.059004601,.059288751,.068335399,.068335399,.19501346,.19501346
BE326,.014078903,.2058823,.0041584312,.13088927,.059004601,.059288751,.068335399,.068335399,.19501346,.19501346
BE327,.014078903,.2058823,.0041584312,.13088927,.059004601,.059288751,.068335399,.068335399,.19501346,.19501346
BE331,.013775339,.21604882,.0041286782,.12659332,.057570644,.057376575,.068448387,.068448387,.19380492,.19380492
BE332,.013775339,.21604882,.0041286782,.12659332,.057570644,.057376575,.068448387,.068448387,.19380492,.19380492
BE334,.013775339,.21604882,.0041286782,.12659332,.057570644,.057376575,.068448387,.068448387,.19380492,.19380492
BE335,.013775339,.21604882,.0041286782,.12659332,.057570644,.057376575,.068448387,.068448387,.19380492,.19380492
BE336,.013775339,.21604882,.0041286782,.12659332,.057570644,.057376575,.068448387,.068448387,.19380492,.19380492
BE341,.015246082,.22423616,.0053354204,.13085684,.050346941,.060084216,.070173971,.070173971,.18677323,.18677323
BE342,.015246082,.22423616,.0053354204,.13085684,.050346941,.060084216,.070173971,.070173971,.18677323,.18677323
BE343,.015246082,.22423616,.0053354204,.13085684,.050346941,.060084216,.070173971,.070173971,.18677323,.18677323
BE344,.015246082,.22423616,.0053354204,.13085684,.050346941,.060084216,.070173971,.070173971,.18677323,.18677323
BE345,.015246082,.22423616,.0053354204,.13085684,.050346941,.060084216,.070173971,.070173971,.18677323,.18677323
BE351,.015292034,.22410989,.0047063157,.13235201,.057582639,.060523793,.067718804,.067718804,.18499787,.18499787
BE352,.015292034,.22410989,.0047063157,.13235201,.057582639,.060523793,.067718804,.067718804,.18499787,.18499787
BE353,.015292034,.22410989,.0047063157,.13235201,.057582639,.060523793,.067718804,.067718804,.18499787,.18499787
BG311,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG312,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG313,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG314,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG315,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG321,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG322,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG323,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG324,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG325,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG331,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG332,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG333,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG334,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG341,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG342,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG343,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG344,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG411,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG412,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG413,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG414,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG415,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG421,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG422,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG423,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG424,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BG425,.030256646,.30331346,.0089768553,.10291138,.078219645,.011219692,.094648987,.094648987,.13790216,.13790216
BHR,.05456762,.29073057,.0051085022,.17529812,.06596455,.054508358,.047685903,.047685903,.12922521,.12922521
BR1101,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1102,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1201,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1202,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1301,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1302,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1303,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1304,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1401,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1402,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1501,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1502,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1503,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1504,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1505,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1506,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1601,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1602,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1701,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR1702,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2101,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2102,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2103,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2104,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2105,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2201,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2202,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2203,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2204,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2301,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2302,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2303,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2304,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2305,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2306,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2307,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2401,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2402,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2403,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2404,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2501,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2502,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2503,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2504,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2601,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2602,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2603,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2604,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2605,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2701,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2702,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2703,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2801,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2802,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2803,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2901,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2902,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2903,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2904,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2905,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2906,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR2907,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3101,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3102,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3103,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3104,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3105,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3106,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3107,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3108,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3109,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3110,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3111,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3112,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3201,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3202,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
BR3203,.023751885,.25933412,.00073004345,.11725058,.0601427,.054175697,.064444408,.064444408,.17786306,.17786306
